titulo,subtitulo,texto,data,url,portal,vies_politico
Moraes empurra brasileiros para o exílio e lista não para de crescer,"Moraes empurra uma multidão de brasileiros para o exílio: famílias, jornalistas e críticos fogem da “democracia” do STF.","O vídeo que viralizou da família do deputado Alexandre Ramagem, mulher e duas filhas pequenas, deixando o país com Alexandre de Moraes em “seus calcanhares”, mesmo sem haver processo ou inquérito contra elas, virou símbolo da falta de limites à perseguição judicial instalada no Brasil.

Rebeca Ramagem e as filhas, de 14 e 7 anos, entram agora no rol das centenas de brasileiros que se tornaram exilados políticos para fugir dos sucessivos avanços do Supremo Tribunal Federal sobre liberdades civis e o direito de expressão. A lista de exilados é grande e variada. E segue crescendo. Dentre a maioria, o fato em comum foi terem ousado levantar a voz com críticas e ataques verbais agressivos – e às vezes nem isso – contra as instituições e os detentores do poder. É o tal do crime de desinformação, de ataque às instituições, ou de disseminação de notícias falsas; nada disso existente no arcabouço legal brasileiro.

Quantos brasileiros foram para o exílio na era Moraes?

Nesse contexto, torna-se necessária uma pergunta incômoda: quantos brasileiros Alexandre de Moraes já empurrou para o exílio? Não há levantamento oficial, até por que muitas das ordens e processos do ministro ocorrem sob segredo de justiça. A casa das centenas já é quebrada apenas pelos acusados do 8 de janeiro. Eles preferiram o exílio a um acordo para reconhecer culpa de crimes nunca cometidos.

Mas há outros casos igualmente emblemáticos, como o de Ludmila Lins Grilo. A ex-juíza deixou o Brasil após virar alvo de processos disciplinares por fazer fazer críticas ao STF. Nos casos dos jornalistas Oswaldo Eustáquio e Allan dos Santos, um refugiado na Espanha e outro nos EUA, os pedidos de extradição por parte de Alexandre de Moraes foram negados com uma reprimenda moral: o que Moraes chama de crime é direito sagrado de liberdade de expressão.

Há ainda o caso de Rodrigo Constantino, que deixou o Brasil após sucessivas medidas de derrubadas de perfis nas redes sociais, quebra de sigilo bancário e confisco de p",Data Indisponível,https://www.gazetadopovo.com.br/republica/moraes-empurra-brasileiros-para-o-exilio-e-lista-nao-para-de-crescer/#comentarios?ref=comentarios-materia,gazetadopovo,ESQUERDA
CPMI do INSS: decisão de Mendonça limita ação de Alcolumbre,"Decisão do STF que prorroga a CPMI do INSS pressiona Alcolumbre, amplia investigação e acirra tensão entre Congresso e Judiciário.","A decisão do ministro André Mendonça, do Supremo Tribunal Federal, que determinou a prorrogação da CPMI do INSS e fixou prazo para a leitura do requerimento, deslocou o centro da crise para o comando do Congresso. Ao tornar obrigatória a continuidade dos trabalhos — independentemente de deliberação política —, o ministro reduziu a margem de manobra do presidente do Congresso, Davi Alcolumbre, que passa a ser o principal responsável por viabilizar ou tensionar o cumprimento da decisão. A liminar do ministro ainda precisará ser referendada pelos demais ministros da Corte, mas já está em vigor.

Na prática, o ministro não apenas assegurou a prorrogação por até 120 dias, como também esvaziou a possibilidade de bloqueio político imediato. Caso a leitura do requerimento não ocorra no prazo estabelecido - 48 horas -, a própria CPMI fica autorizada a seguir funcionando, por força da decisão judicial.

Nos bastidores, porém, o movimento de Alcolumbre aponta para uma estratégia de enfrentamento institucional. O presidente do Congresso reagiu com irritação à decisão, classificando-a como “interferência” do Judiciário, e solicitou à Advocacia do Senado um parecer jurídico sobre o alcance da ordem.

A avaliação, segundo interlocutores, é de que ainda há espaço para reversão. Alcolumbre aposta que o plenário do STF pode derrubar a liminar de Mendonça — julgamento que deve ocorrer nos próximos dias, após o caso ser levado ao colegiado.

O argumento em discussão é enquanto a criação de CPIs e CPMIs é reconhecida como direito da minoria, a prorrogação, na visão de aliados do senador, dependeria de decisão do presidente do Congresso. Mendonça, ao contrário, equiparou os dois entendimentos e tratou a extensão como direito automático, desde que cumpridos os requisitos.

Para o cientista político Flavio Testa, o cenário atual revela não apenas um conflito institucional, mas uma estratégia de autoproteção e omissão por parte das lideranças do Legislativo, especialmente do senador Davi Al",Data Indisponível,https://www.gazetadopovo.com.br/republica/cpmi-do-inss-decisao-de-mendonca-limita-acao-de-alcolumbre-e-acirra-tensao-entre-poderes/,gazetadopovo,NEUTRO
STF manda CPMI explicar pedido de acesso a número contatado por Vorcaro,Corte determina que CPMI do INSS esclareça motivos para ter acesso a número que teria sido contatado por Vorcaro no dia de sua primeira prisão. Leia na Gazeta do Povo.,"O Supremo Tribunal Federal (STF) exigiu que a CPMI do INSS esclareça o motivo do pedido de acesso a dados de um número de telefone ligado à Corte que, supostamente, teria sido contatado pelo banqueiro Daniel Vorcaro no dia de sua primeira prisão, no ano passado, durante a deflagração da operação Compliance Zero e que levou à liquidação do Banco Master.

Segundo uma apuração do jornal O Globo, Vorcaro teria conversado com o ministro Alexandre de Moraes fazendo uma espécie de prestação de contas sobre a negociação de venda do banco a investidores árabes. O magistrado, no entanto, negou qualquer diálogo com o banqueiro.

“Não obstante, pede-se licença para consignar que a adequada apreciação da solicitação formulada demanda melhor delimitação de sua finalidade e de seu alcance, porquanto, a depender do objeto visado por essa Comissão, poderá a matéria não se inserir na esfera de atribuições desta Diretoria-Geral, hipótese em que sua apreciação deverá ser submetida à Presidência deste Supremo Tribunal Federal”, afirmou a Diretoria-geral da Corte em ofício e que o Poder360 teve acesso.

No documento, o Supremo reconheceu a “relevância constitucional” da CPMI e disse estar à disposição para colaborar com as investigações. No entanto, condicionou qualquer resposta à clareza do pedido feito pela comissão.

A solicitação partiu do senador Carlos Viana (Podemos-MG), presidente da comissão, que pediu a identificação dos usuários do número nos últimos cinco anos. O prazo de dois dias úteis terminou sem o fornecimento das informações.

A investigação se baseia no envio de mensagens de Daniel Vorcaro a esse número em 17 de novembro de 2025, segundo dados obtidos via Sittel que indicaram que o telefone estaria vinculado ao STF. Em uma entrevista à TV Cultura, Viana chegou a afirmar que o número poderia ser de Moraes, mas depois recuou limitando-se a dizer apenas que o telefone pertence ao Supremo.

Em paralelo, o plenário do STF analisa nesta quinta (26) a decisão monocrática do m",Data Indisponível,https://www.gazetadopovo.com.br/republica/stf-manda-cpmi-explicar-pedido-acesso-numero-contatado-vorcaro/#comentarios?ref=comentarios-materia,gazetadopovo,NEUTRO
Crise do Master aumenta incômodo de Lula com Moraes,"O caso Master aumenta a tensão política, com incômodo de Lula em relação a Moraes e temor de uma onda de delações.","Nos bastidores de Brasília, o caso envolvendo o Banco Master tem ampliado tensões políticas e institucionais. Segundo a coluna de Lauro Jardim, interlocutores afirmam que o presidente Lula tem demonstrado incômodo com as controvérsias envolvendo o ministro Alexandre de Moraes, avaliando que a repercussão do escândalo pode acabar respingando no governo, mesmo sem relação direta com os contratos e contatos atribuídos ao magistrado e a familiares. Paralelamente, o avanço das investigações sobre o banco elevou o temor em Brasília de uma possível onda de delações no caso, já que aliados e envolvidos no escândalo avaliam quem poderá colaborar primeiro com as autoridades, o que poderia ampliar o impacto político das apurações.

Vorcaro enviou recado em tom de ameaça a Haddad

O empresário Daniel Vorcaro tentou diversas vezes marcar uma reunião com o ministro da Fazenda, Fernando Haddad, mas teve os pedidos recusados. Segundo a coluna de Lauro Jardim, Vorcaro chegou a enviar um recado considerado ameaçador por meio de um intermediário, afirmando que precisava falar com o ministro sobre “o que pode acontecer se algo acontecer comigo”. Haddad manteve a negativa ao encontro e respondeu ao emissário que ele estava “falando com a pessoa errada”. O episódio ocorreu em meio às investigações envolvendo o Banco Master e o próprio empresário.

Delação de Vorcaro pode mirar políticos e poupar STF

Daniel Vorcaro, investigado no caso do Banco Master, avalia negociar uma delação premiada cuja estratégia inicial seria focar em políticos e evitar acusações diretas contra ministros do Supremo Tribunal Federal (STF). A ideia seria aumentar as chances de validação do acordo pela Procuradoria-Geral da República (PGR) e reduzir riscos institucionais para os advogados envolvidos. Mesmo assim, essa estratégia pode enfrentar obstáculos, já que investigadores da Polícia Federal apontam haver material que poderia atingir integrantes da Corte, como os ministros Alexandre de Moraes e Dias Toffoli, ci",Data Indisponível,https://www.gazetadopovo.com.br/sem-rodeios/crise-do-master-aumenta-incomodo-de-lula-com-moraes/#comentarios?ref=comentarios-materia,gazetadopovo,NEUTRO
Contra o fanatismo político,O fanatismo nasce do desespero e da frustração. Pessoas que se sentem impotentes ou sem valor são mais suscetíveis a se tornarem fanáticas.,"Nos anos seguintes ao final da Segunda Guerra, especialmente após as revelações sobre a barbárie do Holocausto, a grande questão que mobilizou intelectuais do Ocidente foi entender como e por que a sociedade alemã, culturalmente tão avançada, se deixou seduzir pelo nazismo.

Diferentes autores se dedicaram a escrever sobre o assunto, destacando-se “As origens do totalitarismo”, de Hannah Arendt. Lançado em 1951, o livro investiga as origens comuns dos principais regimes totalitários do século 20 – o nazismo e o comunismo – e sua constituição como movimentos de massa capazes de atrair milhões de seguidores fanáticos.

Após examinar em profundidade as condições que permitiram a ascensão do antissemitismo e do imperialismo na Europa, Arendt concluiu que o totalitarismo era uma nova forma de governo, que diferia essencialmente da opressão política praticada pelas ditaduras até então conhecidas.

Segundo a autora, o diferencial dos regimes totalitários é que seu objetivo não é apenas perseguir e calar adversários, mas subjugar e doutrinar toda a população, de maneira a mudar a percepção que os indivíduos têm de si mesmos, de seu papel na sociedade e da própria política.

Por isso mesmo, nos processos de dominação implementados por esses regimes, tão importantes quanto a força bruta são as técnicas de manipulação da opinião pública e de lavagem cerebral da população. O objetivo não é apenas esmagar, mas também convencer. E converter.

Se “As origens do totalitarismo” se tornou uma obra de referência sobre o tema e até hoje é reeditado, outro livro importantíssimo, publicado no mesmo ano, caiu em relativo ostracismo: “Fanatismo e movimentos de massa” (“The true believer”, no original), do americano Erich Hoffer.

O foco de Hoffer é a interpretação da mentalidade fanática, que faz pessoas comuns abandonarem a razão e entregarem seus destinos nas mãos de psicopatas. Daí o paralelo que o autor estabelece entre o fanatismo político e o fanatismo religioso. Nesse sentido, “Fana",Data Indisponível,https://www.gazetadopovo.com.br/vozes/luciano-trigo/contra-o-fanatismo-politico-o-fardo-da-responsabilidade/,gazetadopovo,NEUTRO
Greve dos caminhoneiros: 4 efeitos imediatos se categoria parar,Entenda como uma nova greve dos caminhoneiros pode paralisar o Brasil e gerar inflação. Leia mais na Gazeta do Povo.,"Caminhoneiros em protesto bloqueando a Rodovia Presidente Dutra, em Seropédica (RJ), durante a greve de maio de 2018. (Foto: Tomaz Silva/Agência Brasil )

Nesta quinta-feira (26), caminhoneiros se reunirão em assembleia para definir se deflagram uma paralisação a nível nacional. Uma nova greve da categoria, a exemplo da que ocorreu em 2018, poderia colocar em poucos dias a economia brasileira em uma situação crítica.

Ao contrário de 2018, o Brasil hoje tem menos margem para reagir a uma paralisação. A guerra no Oriente Médio pressiona o preço dos combustíveis, enquanto o diesel já acumula forte alta nas últimas semanas e segue defasado em relação ao mercado externo.

Ao mesmo tempo, a colheita agrícola registra atrasos relevantes, o que aumenta a dependência do transporte rodoviário neste momento.

Analistas consultados pela Gazeta do Povo apontam que o perigo reside na combinação de um ""choque externo"" (conflitos no Oriente Médio) com um ""choque interno"" (greve nos transportes). A convergência desses fatores causaria quatro efeitos severos na economia:

1. Falta generalizada de combustíveis

Quando uma greve dos caminhoneiros tem início, o desabastecimento é imediato. Na crise de 2018, em apenas três dias os primeiros sinais de colapso surgiram nos grandes centros urbanos.

Em Minas Gerais e na Bahia, mais de 90% dos postos de combustíveis ficaram sem produto. Aeroportos estratégicos, como o de Brasília, ficaram sem querosene de aviação, forçando o cancelamento de voos. Motoristas enfrentaram filas quilométricas, racionamento e, frequentemente, a impossibilidade de abastecer.

Em 2026, o cenário tenderia a se repetir, mas com maior velocidade. Com o petróleo cotado acima de US$ 100 e o diesel com defasagem de 55%, a pressão sobre os estoques da Petrobras aumentaria rapidamente. O esgotamento nos postos seria mais rápido e agudo do que o registrado há oito anos.

""O diesel é o principal motor logístico do país, e sua alta afeta diretamente o frete de mercadorias, o",Data Indisponível,https://www.gazetadopovo.com.br/economia/greve-caminhoneiros-risco-colapso-economia-brasil/#comentarios?ref=comentarios-materia,gazetadopovo,NEUTRO
Argumentos de John Stuart Mill para defender a liberdade de expressão,"Em um momento crucial para a democracia, a Gazeta do Povo resgata os fundamentos da liberdade de expressão no ebook ""","Em um momento crucial para a democracia, a Gazeta do Povo resgata os fundamentos da liberdade de expressão no e-book ""Argumentos Sobre a Liberdade: Um resumo com os argumentos de John Stuart Mill para defender a liberdade de expressão"", de Guido Orgis. A publicação convida o leitor a uma reflexão profunda sobre a relevância do pensamento do filósofo liberal John Stuart Mill, autor da influente obra ""Sobre a Liberdade"".

>> Baixe o e-book Argumentos sobre a Liberdade

O e-book busca argumentos essenciais para a crença contemporânea no valor da livre manifestação de ideias, em um contexto onde essa liberdade nem sempre se mostra garantida. A obra de Mill, considerada uma ""Bíblia libertária"", aborda a liberdade política, autonomia individual, autodesenvolvimento e, principalmente, a liberdade de opinião como um pilar para a busca da verdade.

Um dos pontos centrais destacados no resumo é a íntima ligação entre a liberdade de expressão e o descobrimento da verdade. Mill acreditava que é através da discussão e do confronto de diferentes ideias que podemos chegar a um entendimento mais claro da realidade. Ele argumentava que limitar a liberdade de expressão impede a possibilidade de descobrir novas verdades ou de fortalecer aquelas que já existem através do diálogo com opiniões divergentes, mesmo que pareçam errôneas.

>> Baixe o e-book Argumentos sobre a Liberdade

Mill também nos lembra que ninguém é infalível para determinar quais opiniões são verdadeiras e quais não são. Portanto, ao suprimir qualquer ideia, corremos o risco de perder uma possível verdade ou de impedir que uma verdade parcial se torne mais completa através do debate. Mesmo as opiniões que consideramos erradas podem conter algum elemento de verdade, e o confronto com elas ajuda a refinar nosso entendimento.

Além da busca pela verdade, o e-book explora a importância da liberdade individual para viver de acordo com as próprias convicções, desde que isso não cause dano a outras pessoas. Mill defendia que",Data Indisponível,https://www.gazetadopovo.com.br/ideias/liberdade-de-expressao-em-debate-entenda-os-argumentos-essenciais-de-john-stuart-mill/,gazetadopovo,NEUTRO
AO VIVO: STF julga decisão de André Mendonça que prorrogou CPMI do INSS,Supremo analisa decisão que manteve CPMI do INSS após ação de Carlos Viana e questionamento sobre omissão no Congresso.,"O Supremo Tribunal Federal (STF) marcou, para esta quinta-feira (26), o julgamento presencial da decisão do ministro André Mendonça que prorrogou os trabalhos da CPMI do INSS. O processo passou de sessão virtual para presencial após o relator apontar um erro material.

Na prática, Mendonça garantiu a continuidade da comissão e reduziu a possibilidade de interrupção imediata por decisão política.

A medida foi tomada após o presidente da CPMI, o senador Carlos Viana, acionar o STF por meio de um mandado de segurança. Segundo ele, houve omissão da Mesa do Congresso ao não analisar o pedido de extensão do prazo, mesmo com o número necessário de assinaturas.

“O que estamos pedindo é simples: que a Constituição seja respeitada e que a investigação siga até o fim”, afirmou o senador durante uma reunião da CPMI.

Em sua decisão, Mendonça estabeleceu um prazo de 48 horas para que a Mesa do Congresso fizesse a leitura do requerimento. Caso contrário, a leitura seria considerada automaticamente realizada para garantir a continuidade dos trabalhos.

Ministro André Mendonça acatou pedido do senador Carlos Viana para prorrogar a CPMI do INSS

Na prática, Mendonça considerou que houve omissão de Davi Alcolumbre ao não dar andamento ao pedido de prorrogação da comissão, mesmo com o requerimento assinado por mais de um terço dos parlamentares.

“Considero, em sede cautelar, inconstitucional, por ofensiva ao direito subjetivo da minoria parlamentar, a omissão deliberada da Mesa Diretora e da Presidência do Congresso Nacional consistente em deixar de receber e de promover a leitura do pleito de prorrogação da ‘CPMI do INSS’, razão pela qual concedo a liminar para determinar, em cumprimento imediato”, afirmou Mendonça na decisão a que a Gazeta do Povo teve acesso.

Nos bastidores da Corte há uma ala que defende a autocontenção judicial, o que pode levar à derrubada da liminar por maioria de votos. A tensão é agravada pelo avanço das investigações da CPMI sobre o caso do Banco Master,",Data Indisponível,https://www.gazetadopovo.com.br/republica/acompanhe-ao-vivo-andre-mendonca-coloca-stf-contra-parede-para-prorrogacao-da-cpmi/#comentarios?ref=comentarios-materia,gazetadopovo,NEUTRO
Como a polícia secreta soviética perseguia os “inimigos” de Stalin,Vladimir V. Tchernavin (1887-1949) relata como Stalin criou uma sociedade marcada pela delação e pelo medo,"“Nos Campos de Concentração Soviéticos” (selo Avis Rara), de Vladimir V. Tchernavin (1887-1949), é um dos primeiros relatos documentados sobre o gulag e a repressão do regime stalinista. Cientista especializado em ictiologia, Tchernavin descreve como sua vida foi destruída pela lógica distópica do planejamento central soviético, que transformava fracassos do sistema em pretextos para perseguições e execuções.

No recorte a seguir, que abre o livro, o autor descreve como as metas absurdas impostas pela ditadura de Stalin resultavam em acusações arbitrárias de “sabotagem” contra trabalhadores. Também mostra que a paranoia e o terror gerados pela burocracia comunista destruíram qualquer senso de solidariedade, criando uma sociedade marcada pela delação e pelo medo.

Eu não conseguia dormir. Era uma noite no fim de março em Murmansk, muito além do Círculo Polar Ártico.

O vento uivava do lado de fora do meu alojamento — um quarto e uma cozinha minúsculo — e uma corda congelada, que servia de varal para pendurar a roupa, batia contra a parede de madeira da casa.

A aurora boreal brincava no céu, e como que em resposta os fios elétricos emitiam ruídos, ora um zumbido baixo, ora o barulho de uma sirene de navio a vapor. Minha mulher e meu filho pequeno estavam em nossa casa em Leningrado, e como de hábito eu passava a noite sozinho em meu quarto.

Não era uma moradia bonita de ver: a mobília se resumia em duas mesas, três cadeiras, uma estante de livros e um sofá. No sofá, que me servia de cama, eu tentava dormir.

Subitamente escutei um ruído na casa e alguns passos. Imaginei que algo havia acontecido no porto e os marinheiros tivessem vindo à procura do assistente do administrador da frota pesqueira.

O pobre homem não tinha um instante de paz, nem de dia nem de noite. Apurei os ouvidos e prestei atenção. Sim, estavam batendo na porta dele. As batidas cessaram. Duas horas depois começaram a bater vigorosamente na minha porta.

Odiei a ideia de ter de me levantar. Pensei ",Data Indisponível,https://www.gazetadopovo.com.br/ideias/como-policia-secreta-sovietica-perseguia-inimigos-de-stalin/,gazetadopovo,NEUTRO
Embraer apresenta primeiro caça supersônico produzido no Brasil,Embraer montou o primeiro caça supersônico F-39E Gripen em território nacional. A aeronave usa tecnologia da empresa sueca Saab.,"Embraer montou o primeiro caça supersônico F-39E Gripen em território nacional. A aeronave usa tecnologia da empresa sueca Saab. (Foto: EFE/Sebastiao Moreira )

A Embraer apresentou nesta quarta-feira (25) o primeiro caça supersônico fabricado no Brasil, o F-39E Gripen. A iniciativa é uma parceria com a empresa sueca Saab, criadora do modelo, e a Força Aérea Brasileira (FAB). O contrato prevê a produção de outros 14 caças.

A Embraer destacou que esse marco coloca o Brasil “em um seleto grupo de nações com capacidade de desenvolver e produzir aeronaves de combate de alta complexidade”.

O presidente Luiz Inácio Lula da Silva (PT), o ministro da Defesa, José Múcio, e a embaixadora da Suécia no Brasil, Karin Wallensteen, estiveram presentes na cerimônia realizada no complexo industrial da Embraer, em Gavião Peixoto (SP), onde são feitos os caças Gripen E.

“Além da questão econômica e social que a indústria representa, esse projeto permite a consolidação do nosso poder dissuasório, ampliando a capacidade de garantir a soberania nacional e a segurança regional”, disse Múcio.

Lula não discursou no evento, mas publicou um vídeo do momento em que sua aerenove é escoltada por um Gripen.

O contrato firmado em 2014 com o governo prevê o desenvolvimento e a produção de 36 caças Gripen — 28 Gripen E monoposto e 8 Gripen F biposto. Em 2020, o primeiro caça chegou ao Brasil. Até o momento, 11 aeronaves foram entregues.

Segundo a FAB, 15 das 36 aeronaves terão a montagem final realizada em solo nacional, na planta da Embraer.

“A estratégia integra o Programa F-X2 e é considerada fundamental para a absorção de conhecimento técnico avançado, desde a produção e o suporte logístico até futuras modernizações”, disse a Força, em nota.

As aeronaves produzidas no Brasil são iguais às recebidas da Suécia, seguindo padrões de projeto, certificação e qualidade. Desde fevereiro, o Gripen está a serviço do Alerta de Defesa Aérea, a partir da Base Aérea de Anápolis (GO), para garantir a p",Data Indisponível,https://www.gazetadopovo.com.br/republica/embraer-apresenta-primeiro-caca-supersonico-produzido-no-brasil/,gazetadopovo,NEUTRO
